year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,16,33,5,590,100,0,0,0,3,1541,
2025,2,21,16,33,6,590,100,0,0,0,3,1541,
2025,2,21,16,33,7,590,100,0,0,0,3,1541,
2025,2,21,16,33,8,590,100,0,0,0,3,1541,
2025,2,21,16,33,9,600,100,0,0,0,3,1541,
2025,2,21,16,33,10,600,100,0,0,0,3,1541,
2025,2,21,16,33,11,610,100,0,0,0,3,1541,
2025,2,21,16,33,12,620,100,0,0,0,3,1541,
2025,2,21,16,33,13,630,100,0,0,0,3,1541,
2025,2,21,16,33,14,630,100,0,0,0,3,1541,
2025,2,21,16,33,15,630,100,0,0,0,3,1541,
2025,2,21,16,33,16,640,100,0,0,0,3,1541,
2025,2,21,16,33,17,640,100,0,0,0,3,1541,
2025,2,21,16,33,18,640,100,0,0,0,3,1541,
2025,2,21,16,33,19,650,100,0,0,0,3,1541,
2025,2,21,16,33,19,650,100,0,0,0,3,1541,
2025,2,21,16,33,20,660,100,0,0,0,3,1541,
2025,2,21,16,33,21,660,100,0,0,0,3,1541,
2025,2,21,16,33,22,670,100,0,0,0,3,1541,
2025,2,21,16,33,23,670,100,0,0,0,3,1541,
2025,2,21,16,33,24,670,100,0,0,0,3,1541,
2025,2,21,16,33,25,670,100,0,0,0,3,1541,
2025,2,21,16,33,26,670,100,0,0,0,3,1541,
2025,2,21,16,33,27,670,100,0,0,0,3,1541,
2025,2,21,16,33,28,670,100,0,0,0,3,1541,
2025,2,21,16,33,29,670,100,0,0,0,3,1541,
2025,2,21,16,33,30,670,100,0,0,0,3,1541,
2025,2,21,16,33,31,660,100,0,0,0,3,1541,
2025,2,21,16,33,32,660,100,0,0,0,3,1541,
2025,2,21,16,33,33,670,100,0,0,0,3,1541,
2025,2,21,16,33,34,670,100,0,0,0,3,1541,
2025,2,21,16,33,35,670,100,0,0,0,3,1541,
2025,2,21,16,33,36,660,100,0,0,0,3,1541,
2025,2,21,16,33,37,660,100,0,0,0,3,1541,
2025,2,21,16,33,38,660,100,0,0,0,3,1523,
2025,2,21,16,33,39,650,100,0,0,0,3,1523,
2025,2,21,16,33,40,650,100,0,0,0,3,1523,
2025,2,21,16,33,41,650,100,0,0,0,3,1477,
2025,2,21,16,33,42,650,100,0,0,0,3,1450,
2025,2,21,16,33,43,650,100,0,0,0,3,1432,
2025,2,21,16,33,44,650,100,0,0,0,3,1419,
2025,2,21,16,33,45,640,100,0,0,0,3,1435,
2025,2,21,16,33,46,640,100,0,0,0,3,1447,
2025,2,21,16,33,47,630,100,0,0,0,3,1457,
2025,2,21,16,33,48,630,100,0,0,0,3,1462,
2025,2,21,16,33,49,620,100,0,0,0,3,1467,
2025,2,21,16,33,50,620,100,0,0,0,3,1471,
2025,2,21,16,33,51,620,100,0,0,0,3,1476,
2025,2,21,16,33,52,620,100,0,0,0,3,1482,
2025,2,21,16,33,53,620,100,0,0,0,3,1484,
2025,2,21,16,33,54,620,100,0,0,0,3,1483,
2025,2,21,16,33,55,620,100,0,0,0,3,1472,
2025,2,21,16,33,56,610,100,0,0,0,3,1431,
2025,2,21,16,33,57,610,100,0,0,0,3,1395,
2025,2,21,16,33,58,610,100,0,0,0,3,1362,
2025,2,21,16,33,59,610,100,0,0,0,3,1333,
2025,2,21,16,34,0,600,100,0,0,0,3,1315,
