year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,11,30,56,1280,100,2,466,0,3,584,
2025,2,21,11,30,57,1270,100,2,468,0,3,584,
2025,2,21,11,30,58,1270,100,2,470,0,3,584,
2025,2,21,11,30,59,1270,100,2,472,0,3,584,
2025,2,21,11,31,0,1270,100,2,474,0,3,584,
2025,2,21,11,31,1,1270,100,2,476,0,3,584,
2025,2,21,11,31,2,1270,100,2,478,0,3,584,
2025,2,21,11,31,3,1260,100,2,480,0,3,584,
2025,2,21,11,31,4,1260,100,2,482,0,3,584,
2025,2,21,11,31,5,1250,100,2,484,0,3,584,
2025,2,21,11,31,6,1250,100,2,486,0,3,584,
2025,2,21,11,31,7,1250,100,2,488,0,3,584,
2025,2,21,11,31,8,1250,100,2,490,0,3,584,
2025,2,21,11,31,9,1240,100,2,492,0,3,584,
2025,2,21,11,31,10,1240,100,2,494,0,3,584,
2025,2,21,11,31,11,1240,100,2,496,0,3,584,
2025,2,21,11,31,12,1240,100,2,498,0,3,584,
2025,2,21,11,31,13,1240,100,2,500,0,3,584,
2025,2,21,11,31,14,1250,100,2,502,0,3,584,
2025,2,21,11,31,15,1250,100,2,504,0,3,584,
2025,2,21,11,31,16,1250,100,2,505,0,3,584,
2025,2,21,11,31,17,1250,100,2,507,0,3,584,
2025,2,21,11,31,18,1260,100,2,509,0,3,584,
2025,2,21,11,31,19,1260,100,2,511,0,3,584,
2025,2,21,11,31,20,1260,100,2,513,0,3,584,
2025,2,21,11,31,21,1270,100,2,515,0,3,584,
2025,2,21,11,31,22,1270,100,2,517,0,3,584,
2025,2,21,11,31,23,1270,100,2,519,0,3,584,
2025,2,21,11,31,24,1270,100,2,521,0,3,584,
2025,2,21,11,31,25,1270,100,2,523,0,3,584,
2025,2,21,11,31,26,1270,100,2,525,0,3,584,
2025,2,21,11,31,27,1270,100,2,527,0,3,584,
2025,2,21,11,31,28,1280,100,2,529,0,3,584,
2025,2,21,11,31,29,1270,100,2,531,0,3,584,
2025,2,21,11,31,30,1270,100,2,533,0,3,584,
2025,2,21,11,31,31,1280,100,2,535,0,3,584,
2025,2,21,11,31,32,1280,100,2,537,0,3,584,
2025,2,21,11,31,33,1280,100,2,539,0,3,584,
2025,2,21,11,31,34,1270,100,2,541,0,3,584,
2025,2,21,11,31,35,1270,100,2,543,0,3,584,
2025,2,21,11,31,36,1270,100,2,545,0,3,584,
2025,2,21,11,31,37,1270,100,2,547,0,3,584,
2025,2,21,11,31,38,1260,100,2,549,0,3,584,
2025,2,21,11,31,39,1260,100,2,550,0,3,584,
2025,2,21,11,31,40,1260,100,2,552,0,3,584,
2025,2,21,11,31,41,1250,100,2,554,0,3,584,
2025,2,21,11,31,42,1250,100,2,556,0,3,584,
2025,2,21,11,31,43,1240,100,2,558,0,3,584,
2025,2,21,11,31,44,1240,100,2,560,0,3,584,
2025,2,21,11,31,45,1230,100,2,562,0,3,584,
2025,2,21,11,31,46,1230,100,2,564,0,3,584,
2025,2,21,11,31,47,1230,100,2,566,0,3,584,
2025,2,21,11,31,48,1230,100,1,567,0,3,584,
2025,2,21,11,31,49,1220,100,2,568,0,3,584,
2025,2,21,11,31,50,1220,100,1,569,0,3,584,
2025,2,21,11,31,51,1220,100,1,569,0,3,584,
2025,2,21,11,31,52,1220,100,1,569,0,3,584,
2025,2,21,11,31,53,1230,50,0,569,0,3,584,
2025,2,21,11,31,54,1240,50,0,569,0,3,584,
2025,2,21,11,31,55,1240,50,0,569,0,3,584,
2025,2,21,11,31,56,1250,50,0,569,0,3,584,
2025,2,21,11,31,57,1250,50,0,569,0,3,584,
2025,2,21,11,31,58,1260,50,0,569,0,3,584,
2025,2,21,11,31,59,1270,50,0,569,0,3,584,
2025,2,21,11,32,0,1270,50,0,569,0,3,584,
2025,2,21,11,32,1,1280,25,0,569,0,3,584,
2025,2,21,11,32,2,1280,75,1,569,0,3,584,
2025,2,21,11,32,3,1290,75,1,569,0,3,584,
2025,2,21,11,32,4,1290,100,1,569,0,3,584,
2025,2,21,11,32,5,1280,100,1,569,0,3,584,
2025,2,21,11,32,6,1280,75,1,569,0,3,584,
2025,2,21,11,32,7,1280,25,0,569,0,3,584,
2025,2,21,11,32,8,1270,25,0,569,0,3,584,
2025,2,21,11,32,9,1270,25,0,569,0,3,584,
2025,2,21,11,32,10,1270,75,0,569,0,3,584,
2025,2,21,11,32,11,1280,75,0,569,0,3,584,
2025,2,21,11,32,12,1290,100,0,569,0,3,584,
2025,2,21,11,32,13,1290,75,0,569,0,3,584,
2025,2,21,11,32,14,1300,75,0,569,0,3,584,
2025,2,21,11,32,15,1300,75,0,569,0,3,584,
2025,2,21,11,32,16,1300,75,0,569,0,3,584,
2025,2,21,11,32,17,1290,50,0,569,0,3,584,
2025,2,21,11,32,18,1290,50,0,569,0,3,584,
2025,2,21,11,32,19,1290,50,0,569,0,3,584,
2025,2,21,11,32,20,1290,50,0,569,0,3,584,
2025,2,21,11,32,21,1290,75,0,569,0,3,584,
2025,2,21,11,32,22,1300,100,0,569,0,3,584,
2025,2,21,11,32,23,1310,100,0,569,0,3,584,
2025,2,21,11,32,24,1310,100,0,569,0,3,584,
2025,2,21,11,32,25,1300,100,0,569,0,3,584,
2025,2,21,11,32,26,1290,100,0,569,0,3,584,
2025,2,21,11,32,27,1280,100,0,569,0,3,584,
2025,2,21,11,32,28,1270,100,0,569,0,3,584,
2025,2,21,11,32,29,1260,100,0,569,0,3,584,
2025,2,21,11,32,30,1250,75,0,569,0,3,584,
