0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
165151,16279,423892,438575,-21,-249,977,680,100,0,0,0,0,3,
165320,16294,424009,438776,-19,-249,977,680,100,0,0,0,0,3,
165504,16307,424110,438970,-23,-249,978,680,100,0,0,0,0,3,
165662,16326,424219,439177,-22,-248,978,680,100,0,0,0,0,3,
165845,16342,424296,439329,-21,-249,977,680,100,0,0,0,0,3,
165605,16288,423675,438471,-21,-249,978,680,100,0,0,0,0,3,
164658,16159,422628,436862,-20,-249,977,680,100,0,0,0,0,3,
163986,16096,422205,436144,-23,-249,978,680,100,0,0,0,0,3,
163826,16106,422114,436059,-24,-249,977,680,100,0,0,0,0,3,
163811,16123,422077,436122,-19,-249,977,680,100,0,0,0,0,3,
163856,16142,422102,436246,-22,-249,978,680,100,0,0,0,0,3,
163974,16170,422203,436532,-22,-249,979,680,100,0,0,0,0,3,
164101,16177,422248,436691,-20,-249,978,680,100,0,0,0,0,3,
164160,16181,422238,436752,-20,-249,977,680,100,0,0,0,0,3,
164220,16183,422252,436848,-19,-249,979,680,100,0,0,0,0,3,
164335,16200,422377,437037,-18,-248,979,680,100,0,0,0,0,3,
164481,16219,422458,437248,-18,-249,979,680,100,0,0,0,0,3,
164601,16237,422519,437468,-20,-248,977,680,100,0,0,0,0,3,
164832,16252,422726,437751,-20,-248,978,680,100,0,0,0,0,3,
165012,16269,422827,437979,-20,-248,978,680,100,0,0,0,0,3,
165140,16281,422889,438148,-18,-249,979,680,100,0,0,0,0,3,
165310,16300,423009,438339,-21,-248,979,680,100,0,0,0,0,3,
165461,16316,423070,438504,-19,-249,979,680,100,0,0,0,0,3,
165586,16331,423114,438640,-18,-248,980,680,100,0,0,0,0,3,
165769,16350,423240,438863,-19,-247,980,680,100,0,0,0,0,3,
165955,16370,423361,439043,-18,-248,978,680,100,0,0,0,0,3,
165899,16352,422981,438581,-20,-249,976,680,100,0,0,0,0,3,
165114,16243,421983,437059,-17,-248,979,680,100,0,0,0,0,3,
164307,16154,421389,436086,-18,-248,978,680,100,0,0,0,0,3,
164068,16160,421280,435934,-19,-248,979,680,100,0,0,0,0,3,
164095,16180,421331,436029,-18,-248,977,680,100,0,0,0,0,3,
164141,16198,421378,436126,-20,-248,979,680,100,0,0,0,0,3,
164245,16222,421467,436394,-17,-249,979,680,100,0,0,0,0,3,
164352,16230,421523,436570,-20,-248,978,680,100,0,0,0,0,3,
164391,16231,421512,436605,-19,-248,977,680,100,0,0,0,0,3,
